Comment,Designator,Footprint,JLCPCB Part #（optional）
XC6SLX9-2TQG144I,U$19,TQFP-144(20x20),C415799
MAX3421EEHJ+T,IC8,TQFP-32(5x5),C2651881
TL16C752DPFBR,IC6,TQFP-48(7x7),C524288
IRLML5203TRPBF,Q4,SOT-23,C2592
MCP4802-E/SN,SN1,SOIC-8,C144363
MCP79512-I/MS,U$13,MSOP-10,C636437
"PCA9564PW,118",IC24,TSSOP-20,C2678128
18pF,"C29,C30,C39,C40",603,C152921
100nF,"C2, C11,C12,C13, C15,C16,C17,C18,C19, C22, C23, C25,C26,C27, C31,C32,C33,C34,C35, C41,C42,C43,C44,C45,C46,C47,C48, C58, C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113, C146, C147, C150,C7,C8,C63,C85,C127,C128,C152,C155",603,C14663
22uF,"C5,C67,C68,C69,C71,C64,C65,C66,C154",805,C5674
1uF,"C1,C4,C14,C24,C49,C54,C55,C56,C57,C120,C121,C123",603,C309479
74ahct1g08,U8,TSOP-5,C113521
74lvc1g04,U1,SOT-5,C7434171
74hct245dw,"IC2,IC5,IC4",SOIC-20,C132267
SN74LVC8T245DBR,IC16,SOIC-24-300mil,C2677625
SN74HCT244DWR,"IC13,IC19",SOIC-20,C6776
CD4053BM96,"U4,U5",SOIC-16,C6742
SN74LVC14ADR,IC14,SOIC-14,C133541
SN74LVC06ADR,IC18,SOIC-14,C7658
"74LVC138AD,118",IC7,SOIC-16,C6061
"74LVC125AD,118",IC3,SOIC-14,C6057
AP2132BMP-1.2TRG1,U$16,ESOP-8,C338874
AMS1117-3.3,"U$3,U$17",SOT-223,C6186
PESD5V0L1BA,"U$10,U$8,U$5,U$6,U$11,U$14,U$15",SOD-323,C2687118
