"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC48";"DIL14";1;"7414N";;;
2;",,,,,,,,,,,,";"";13;"";;;
3;"U$16";"PSOP-8-FIXED";1;"AP2132BB";;;
4;"P2";"C64KEYB";1;"C64KEYB";;;
5;"C23,C22,C106,C11,C26,C108,C58,C31,C113,C13,C107,C44,C101,C34,C32,C12,C21,C48,C45,C43,C47,C104,C19,C41,C24,C17,C150,C35,C33,C146,C27,C42,C147,C46,C25,C15,C16,C18,C102,C110,C2,C103,C109,C100,C112,C105,C111";"C0603";47;"0.1u";;;
6;"T6,T7";"TO92";2;"2T2222";;;
7;"U$24";"DIL08";1;"MC34063A";;;
8;"C149,C148";"C025-024X044";2;"0.01u";;;
9;"C151,C61,C6";"E2,5-6";3;"47u";;;
10;"R57,R65,R53,R61";"0204_7";4;"10M";;;
11;"JP17,JP2,JP6,JP15,JP18,JP11,JP9,JP4,JP12,JP3,JP1";"JP1";11;"JP1E";;;
12;"R33";"0207_10";1;"10";;;
13;"R62,R58,R54,R66";"0204_7";4;"100k";;;
14;"IC17,IC20";"DIL40";2;"PIA";;;
15;"R10,R30,R11,R24,R9";"0207_2V";5;"10k";;;
16;"X7,X8";"182-009-MALE";2;"M09-182";;;
17;"RS0";"0204_7";1;"6k8";;;
18;"IC21";"DIL14";1;"7417N";;;
19;"RV1";"RK12L12_horizontal";1;"R_Potentiometer_Dual";;;
20;"C40,C29,C30,C39";"C0603";4;"18p";;;
21;"C70,C5,C66,C65,C67,C69,C71,C64,C68";"C0805";9;"22u";;;
22;"RN4,RN6";"RN-9";2;"5k1";;;
23;"LED1";"LED3MM";1;"LED3MM";;;
24;"R2,R1,R4";"0204_7";3;"33";;;
25;"C138,C94,C133,C143,C124,C134,C137,C144,C131,C139,C141,C93,C92,C84,C135,C142,C73,C132,C145";"C025-024X044";19;"100n";;;
26;"JP8,JP5,JP13,JP27,JP29,JP31,JP26,JP14,JP20,JP16,JP28,JP24";"JP2";12;"JP2E";;;
27;"S2,S1";"B3F-31XX";2;"31-XX";;;
28;"C81,C79,C78,C80";"C025-025X050";4;"22000";;;
29;"RN8";"RN-8";1;"10k";;;
30;"U7,U6";"DIP-8_W7.62mm_Socket_LongPads";2;"LM386";;;
31;"D29,D18,D30,D27,D28";"DO35-10";5;"1N4148DO35-10";;;
32;"R55,R67,R3,R21,R59,R63";"0204_7";6;"470";;;
33;"C74,C75,C3,C77,C36,C76,C59,C62,C20,C50,C28,C10,C51,C52,C37,C53,C60";"C025-025X050";17;"100n";;;
34;"D5,D6,D8,D10";"D-5";4;"1N4148";;;
35;"J4,J5,J1,J3";"PinHeader_1x01_P2.54mm_Vertical";4;"Conn_01x01_Pin";;;
36;"R79,R77,R80";"0207_7";3;"100k";;;
37;"D20,D3,D14,D9,D23,D22,D1,D26,D19,D21,D2,D4,D7,D25,D24";"DO35-7";15;"1N4148DO35-7";;;
38;"U$14,U$6,U$10,U$5,U$8,U$11,U$15";"SOD323";7;"ESDBIDIR";;;
39;"C88,C89";"E2,5-6";2;"4u7";;;
40;"R81";"0207_7";1;"470";;;
41;"R36,R23";"0204V";2;"2k2";;;
42;"P4,P9";"IDC-Header_2x05_P2.54mm_Vertical";2;"~";;;
43;"U$4,U$18";"DIL08";2;"SPIFLASH";;;
44;"R7,R8";"0204V";2;"68";;;
45;"C117,C96,C95,C136,C129,C116,C118,C115";"E2-5";8;"1u";;;
46;"RN5,RN3";"RN-9";2;"2k4";;;
47;"U$23,U$22";"DIL28";2;"SID";;;
48;"QG3";"SG51";1;"1,8432MHz";;;
49;"U5,U4";"TSSOP-16_4.4x5mm_P0.65mm";2;"CD4053B";;;
50;"R60,R52,R56,R64";"0204_7";4;"100K";;;
51;"R68,R69";"0204_7";2;"47k";;;
52;"R74,R75";"0207_10";2;"10k";;;
53;"C38";"E2,5-6";1;"22u";;;
54;"RN2,RN1";"RN-9";2;"10k";;;
55;"R22";"0207_2V";1;"390";;;
56;"R29";"0207_2V";1;"330";;;
57;"IC18";"SO14";1;"7406D";;;
58;"C7,C128,C8,C127,C85,C63";"C0603";6;"100n";;;
59;"SN1";"SOIC8";1;"MCP48X2";;;
60;"CN2";"MA156_6-2_KEYED";1;"PORT_CASSETTE_EDGE";;;
61;"C9";"C0603";1;"1.0u Cer";;;
62;"R25";"0207_2V";1;"4k7";;;
63;"IC1,IC10";"SOP32";2;"RAMSOCK32TO512KSOP";;;
64;"IC19,IC13";"SO20W@1";2;"74244DW";;;
65;"C72,C140";"E2,5-7";2;"47u";;;
66;"U$21,U$20";"DIL20";2;"74LS641";;;
67;"C14,C4,C56,C49,C1,C54,C120,C55,C57,C121,C123";"C0603";11;"1u";;;
68;"IC8";"PQFP-32_5x5mm_P0.5mm";1;"MAX3421E";;;
69;"Q2";"TC26H";1;"32kHz";;;
70;"IC24";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"~";;;
71;"R78";"0207_7";1;"10k";;;
72;"IC3";"SO14@1";1;"74125D";;;
73;"IC31,IC32";"DIL16";2;"MAX232";;;
74;"Q1";"TO92";1;"BC557";;;
75;"U$26";"JP7";1;"JP7";;;
76;"IC23";"DIL14";1;"7486N";;;
77;"P6,P7";"JP6";2;"CBMTAPE";;;
78;"J8";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
79;"JS1";"RENJS6";1;"RENOSCXLH";;;
80;"C97,C98";"E2,5-7";2;"100u";;;
81;"U$19";"TQFP144";1;"XC6SLX9-TQG144";;;
82;"X3";"M09HP";1;"M09HPS";;;
83;"U$25";"FABC48R2";1;"CSASHORTBUSFA";;;
84;"R28,R31";"0204V";2;"100";;;
85;"SJ1";"SJ_2";1;"SJ2W";;;
86;"IC16";"SO24L";1;"74LVC8T245SO24";;;
87;"D13";"C1702-15";1;"7.5V";;;
88;"RN7";"RN-8";1;"4k7";;;
