Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BEEP1,PIEZOBEEPERPIEZO,PIEZOBEEPER,226.243143,-194.978759,0.0,top
C1,1u,C0603,313.491674,-182.88,180.0,top
C10,100n,C025-025X050,38.924187,-173.99,0.0,top
C100,0.1u,C0603,343.205,-161.535,180.0,top
C101,0.1u,C0603,350.94,-163.83,-90.0,top
C102,0.1u,C0603,314.205,-169.285,0.0,top
C103,0.1u,C0603,328.947,-183.043,-90.0,top
C104,0.1u,C0603,347.98,-163.83,-90.0,top
C105,0.1u,C0603,343.455,-168.535,180.0,top
C106,0.1u,C0603,271.78,-178.435,90.0,top
C107,0.1u,C0603,269.100166,-178.435,90.0,top
C108,0.1u,C0603,351.155,-179.285,90.0,top
C109,0.1u,C0603,326.009,-153.289,90.0,top
C11,0.1u,C0603,344.17,-135.89,-90.0,top
C110,0.1u,C0603,314.455,-173.99,180.0,top
C111,0.1u,C0603,328.041,-153.273,-90.0,top
C112,0.1u,C0603,343.455,-171.285,0.0,top
C113,0.1u,C0603,267.235711,-138.166191,90.0,top
C114,1500p,C025-024X044,365.125,-205.105,0.0,top
C115,1u,E2-5,184.15,-180.975,0.0,top
C116,1u,E2-5,190.5,-174.625,0.0,top
C117,1u,E2-5,190.5,-180.975,0.0,top
C118,1u,E2-5,184.15,-174.625,0.0,top
C119,10u,E2-5,226.06,-142.24,-90.0,top
C12,0.1u,C0603,248.098106,-135.001468,0.0,top
C120,1u,C0603,315.964612,-156.771714,180.0,top
C121,1u,C0603,314.205,-167.285,180.0,top
C122,10u,E2-5,219.71,-142.24712,-90.0,top
C123,1u,C0603,333.629,-183.007,-90.0,top
C124,100n,C025-024X044,102.235,-73.66,90.0,top
C125,"0.01, 50V",C025-024X044,153.035,-64.135,0.0,top
C126,0.47,C025-025X050,153.67,-203.2,-90.0,top
C127,100n,C0603,321.947,-183.043,-90.0,top
C128,100n,C0603,359.41,-163.83,-90.0,top
C129,100u,E2-5,293.497,-66.929,0.0,top
C13,0.1u,C0603,202.565,-67.945,180.0,top
C130,10u,E2-5,152.4,-217.17,0.0,top
C131,100n,C025-024X044,126.792567,-80.01,90.0,top
C132,100n,C025-024X044,151.13,-80.01,90.0,top
C133,100n,C025-024X044,174.625,-80.01,90.0,top
C134,100n,C025-024X044,183.582652,-91.44,180.0,top
C135,100n,C025-024X044,197.502723,-91.44,180.0,top
C136,100u,E2-5,293.497,-72.263,0.0,top
C137,100n,C025-024X044,74.266943,-88.9,180.0,top
C138,100n,C025-024X044,273.3675,-74.6125,180.0,top
C139,100n,C025-024X044,193.04,-186.69,-90.0,top
C14,1u,C0603,313.467475,-180.285256,180.0,top
C140,47u,"E2,5-6",364.205,-68.285,-90.0,top
C141,100n,C025-024X044,100.965,-203.2,-90.0,top
C142,100n,C025-024X044,273.3675,-77.47,180.0,top
C143,100n,C025-024X044,262.255,-65.786,-90.0,top
C144,100n,C025-024X044,277.368,-66.421,-90.0,top
C145,100n,C025-024X044,158.743834,-184.154342,90.0,top
C146,0.1u,C0603,154.659735,-181.142688,-90.0,top
C147,0.1u,C0603,375.832,-99.91,-90.0,top
C148,0.01u,C025-024X044,131.064,-211.074,-90.0,top
C149,0.01u,C025-024X044,126.746,-211.074,-90.0,top
C15,0.1u,C0603,216.535,-67.945,180.0,top
C150,0.1u,C0603,373.761,-128.905,-90.0,top
C151,47u,"E2,5-6",393.7,-55.88,90.0,top
C152,100n,C0603,367.665,-69.215,-90.0,top
C153,47u,"E2,5-6",377.952,-56.134,0.0,top
C154,22u,C0805,368.935,-64.77,90.0,top
C155,100n,C0603,366.395,-64.77,90.0,top
C156,47u,"E2,5-6",384.5842,-54.4322,0.0,top
C157,100n,C0603,371.729,-45.339,-90.0,top
C158,100u,CP_Radial_D5.0mm_P2.00mm,265.351888,-128.524,0.0,top
C159,100u,CP_Radial_D5.0mm_P2.00mm,233.299,-141.048113,90.0,top
C16,0.1u,C0603,256.208166,-135.222015,0.0,top
C160,100n,C0603,371.729,-49.149,-90.0,top
C161,2200,C025-025X050,191.3382,-215.1888,90.0,top
C162,2200,C025-025X050,195.0306,-215.1888,90.0,top
C163,2200,C025-025X050,198.723,-215.1888,90.0,top
C164,2200,C025-025X050,202.4154,-215.1888,90.0,top
C165,0.1u,C_0603_1608Metric,324.457,-197.593,-90.0,top
C166,0.1u,C_0603_1608Metric,295.536,-131.553,-90.0,top
C167,0.1u,C_0603_1608Metric,312.383,-130.702,90.0,top
C168,4700u,CP_Radial_D16.0mm_P7.50mm,380.955,-170.285,0.0,top
C17,0.1u,C0603,276.86,-148.805,90.0,top
C18,0.1u,C0603,274.121198,-148.805,90.0,top
C19,0.1u,C0603,230.505,-94.435729,0.0,top
C2,0.1u,C0603,323.189,-153.273,90.0,top
C20,100n,C025-025X050,191.135,-118.11,0.0,top
C21,100u,E2-5,278.638,-77.724,0.0,top
C22,0.1u,C0603,207.205,-80.785,180.0,top
C23,0.1u,C0603,240.24321,-135.144172,180.0,top
C24,1.0u Cer,C0603,207.705,-91.785,180.0,top
C25,0.1u,C0603,319.024,-131.103,90.0,top
C26,0.1u,C0603,332.490504,-104.27234,-90.0,top
C27,0.1u,C0603,356.655,-125.73,180.0,top
C28,100n,C025-025X050,102.87,-151.13,0.0,top
C29,18p,C0603,261.62,-155.575,90.0,top
C3,100n,C025-025X050,82.55,-167.64,0.0,top
C30,18p,C0603,254.635,-155.575,90.0,top
C31,0.1u,C0603,346.71,-203.2,-90.0,top
C32,0.1u,C0603,341.21,-182.88,180.0,top
C33,0.1u,C0603,247.015,-94.4,-90.0,top
C34,0.1u,C0603,368.3,-104.272923,-90.0,top
C35,0.1u,C0603,341.21,-180.34,180.0,top
C36,100n,C025-025X050,128.905,-150.495,0.0,top
C37,100n,C025-025X050,148.59,-154.94,0.0,top
C38,47u,"E2,5-6",360.68,-150.495,-90.0,top
C39,18p,C0603,220.98,-81.28,180.0,top
C4,1u,C0603,344.17,-123.19,90.0,top
C40,18p,C0603,221.15439,-91.44,180.0,top
C41,0.1u,C0603,241.3,-151.55,90.0,top
C42,0.1u,C0603,289.56,-190.92,90.0,top
C43,0.1u,C0603,278.55,-198.12,180.0,top
C44,0.1u,C0603,294.005,-198.12,180.0,top
C45,0.1u,C0603,261.62,-163.83,90.0,top
C46,0.1u,C0603,293.388692,-103.72,-90.0,top
C47,0.1u,C0603,312.42,-103.857445,-90.0,top
C48,0.1u,C0603,320.04,-199.583012,-90.0,top
C49,1u,C0603,316.23,-154.059211,0.0,top
C5,22u,C0805,349.885,-140.335,90.0,top
C50,100n,C025-025X050,163.83,-154.305,0.0,top
C51,100n,C025-025X050,175.895,-118.11,180.0,top
C52,100n,C025-025X050,71.755,-203.2,-90.0,top
C53,100n,C025-025X050,54.61,-88.9,0.0,top
C54,1u,C0603,342.714439,-153.67,180.0,top
C55,1u,C0603,290.110704,-131.23,90.0,top
C56,1u,C0603,342.737114,-156.21,180.0,top
C57,1u,C0603,326.947,-183.043,90.0,top
C58,0.1u,C0603,350.52,-104.142852,90.0,top
C59,100n,C025-025X050,99.695,-88.9,0.0,top
C6,47u,"E2,5-6",360.68,-134.62,0.0,top
C60,100n,C025-025X050,122.555,-88.9,0.0,top
C61,47u,"E2,5-6",38.989,-139.065,-90.0,top
C62,100n,C025-025X050,146.05,-88.265,0.0,top
C63,100n,C0603,314.96,-160.655,180.0,top
C64,22u,C0805,354.965,-163.83,-90.0,top
C65,22u,C0805,371.217411,-99.152863,0.0,top
C66,22u,C0805,353.695,-179.07,-90.0,top
C67,22u,C0805,257.81,-171.45,0.0,top
C68,22u,C0805,221.615,-95.885,0.0,top
C69,22u,C0805,67.31,-202.946,-90.0,top
C7,100n,C0603,355.319868,-148.923456,0.0,top
C70,22u,C0805,273.852491,-95.002215,0.0,top
C71,22u,C0805,111.76,-89.063175,0.0,top
C72,47u,"E2,5-6",165.1,-197.485,0.0,top
C73,100n,C025-025X050,34.036,-205.613,-90.0,top
C74,100n,C025-025X050,354.965,-189.865,90.0,top
C75,47u,"E2,5-6",367.705,-76.285,-90.0,top
C76,100n,C025-025X050,376.555,-87.4522,-90.0,top
C77,100n,C025-025X050,130.175,-203.835,-90.0,top
C78,22000,C025-025X050,89.535,-155.575,-90.0,top
C79,22000,C025-025X050,89.535,-161.925,-90.0,top
C8,100n,C0603,355.407322,-134.62,0.0,top
C80,22000,C025-025X050,114.935,-157.607,-90.0,top
C81,22000,C025-025X050,114.935,-162.56,-90.0,top
C82,10u,E2-5,222.885,-165.735,0.0,top
C83,10u,E2-5,222.885,-160.02,0.0,top
C84,100n,C025-024X044,49.53,-146.05,180.0,top
C85,100n,C0603,331.705,-153.273,90.0,top
C86,1u,E2-5,39.295119,-152.874386,-90.0,top
C87,1u,E2-5,39.384029,-159.422042,-90.0,top
C88,4u7,"E2,5-6",33.638517,-162.428696,-90.0,top
C89,4u7,"E2,5-6",33.526931,-155.948641,-90.0,top
C9,100u,E2-5,267.081,-76.708,0.0,top
C90,1u,E2-5,27.588127,-159.505533,-90.0,top
C91,1u,E2-5,39.653127,-165.83244,-90.0,top
C92,100n,C025-024X044,34.29,-80.01,90.0,top
C93,100n,C025-024X044,69.85,-80.01,90.0,top
C94,100n,C025-025X050,205.74,-118.11,180.0,top
C95,1u,E2-5,140.335,-161.29,90.0,top
C96,1u,E2-5,140.335,-156.21,90.0,top
C97,470u,"E2,5-7",356.235,-200.025,0.0,top
C98,100u,E2-5,365.125,-200.025,0.0,top
C99,330u,"E2,5-7",374.015,-200.025,0.0,top
CN2,PORT_CASSETTE_EDGE,MA156_6-2_KEYED,134.935565,-48.59875,180.0,top
CN3,PORT_IEEE_EDGE,MA156_12-2_IEEE,61.64975,-48.59675,180.0,top
CN5,PORT_USER_PET_EDGE,MA156_12-2_USER,21.620877,-104.874215,-90.0,top
D1,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,241.0206,-68.1238,180.0,top
D10,1N4448,D-5,85.09,-148.59,-90.0,top
D11,1N5400,DO201-15,389.705,-184.785,0.0,top
D12,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,375.539,-94.361,180.0,top
D13,7.5V,C1702-15,161.29,-58.42,0.0,top
D14,1N4448,DO35-7,213.36,-105.41,0.0,top
D15,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,375.539,-91.821,180.0,top
D16,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,385.919,-91.769,180.0,top
D17,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,375.666,-119.253,90.0,top
D18,1N4148DO35-10,DO35-10,130.683,-217.551,0.0,top
D19,1N4148DO35-7,DO35-7,167.588983,-207.612088,0.0,top
D2,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,241.0206,-76.1238,180.0,top
D20,1N4148DO35-7,DO35-7,167.588983,-213.53787,0.0,top
D21,1N4148DO35-7,DO35-7,167.588983,-210.630882,0.0,top
D22,1N4148DO35-7,DO35-7,167.564817,-216.561816,0.0,top
D23,1N4148DO35-7,DO35-7,180.247362,-207.570606,0.0,top
D24,1N4148DO35-7,DO35-7,180.247362,-213.608195,0.0,top
D25,1N4148DO35-7,DO35-7,180.247362,-210.5894,0.0,top
D26,1N4148DO35-7,DO35-7,180.34,-216.535,0.0,top
D27,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,385.191,-148.59,90.0,top
D28,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,380.111,-148.59,90.0,top
D29,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,377.571,-148.59,90.0,top
D3,1N4448,D_DO-35_SOD27_P7.62mm_Horizontal,241.0206,-79.6238,180.0,top
