Designator,Mid X,Mid Y,Rotation,Layer
BEEP1,221.444551,-168.170707,0.0,top
C1,313.491674,-182.88,180.0,top
C10,49.53,-195.091917,180.0,top
C100,336.55,-165.735,0.0,bottom
C101,350.94,-163.83,270.0,top
C102,326.39,-170.18,0.0,bottom
C103,327.66,-175.895,270.0,bottom
C104,347.98,-163.83,270.0,top
C105,331.47,-166.37,180.0,bottom
C106,271.78,-178.435,90.0,top
C107,269.100166,-178.435,90.0,top
C108,351.155,-179.285,90.0,top
C109,330.2,-160.655,90.0,bottom
C11,344.17,-135.89,270.0,top
C110,321.305019,-170.705385,0.0,bottom
C111,327.025,-165.735,90.0,bottom
C112,336.55,-170.18,180.0,bottom
C113,267.235711,-138.166191,90.0,top
C114,365.125,-205.105,0.0,top
C115,219.65581,-148.336,270.0,top
C116,196.413885,-148.378169,270.0,top
C117,226.06,-148.231769,270.0,top
C118,190.580617,-148.533645,270.0,top
C119,226.06,-142.24,270.0,top
C12,248.098106,-135.001468,0.0,top
C120,315.964612,-156.771714,180.0,top
C121,321.230235,-166.405296,0.0,bottom
C122,219.71,-142.24712,270.0,top
C123,330.835,-175.895,270.0,bottom
C124,102.235,-73.66,90.0,top
C125,153.035,-64.135,0.0,top
C126,173.99,-201.93,270.0,top
C127,323.739383,-175.880186,270.0,bottom
C128,377.085537,-130.772341,0.0,top
C13,202.565,-67.945,180.0,top
C130,163.813403,-203.2,0.0,top
C131,126.792567,-80.01,90.0,top
C132,151.13,-80.01,90.0,top
C133,174.625,-80.01,90.0,top
C134,183.582652,-91.44,180.0,top
C135,197.502723,-91.44,180.0,top
C137,74.266943,-88.9,180.0,top
C139,191.06847,-166.37,270.0,top
C14,313.467475,-180.285256,180.0,top
C140,279.4,-63.5,90.0,top
C141,101.6,-212.09,270.0,top
C148,132.872741,-213.36,90.0,top
C149,128.279043,-213.36,270.0,top
C15,216.535,-67.945,180.0,top
C150,255.27,-191.77,0.0,top
C151,393.7,-55.88,90.0,top
C16,256.208166,-135.222015,0.0,top
C17,276.86,-148.805,90.0,top
C18,274.121198,-148.805,90.0,top
C19,230.505,-94.435729,90.0,top
C2,326.049176,-160.699509,90.0,bottom
C20,191.135,-118.11,0.0,top
C21,287.87,-77.47,0.0,top
C22,207.645,-92.075,0.0,top
C23,240.24321,-135.144172,180.0,top
C24,207.597802,-80.645,270.0,top
C25,316.23,-131.23,90.0,top
C26,332.490504,-104.27234,270.0,top
C27,356.655,-125.73,180.0,top
C28,101.104428,-148.108142,0.0,top
C29,261.62,-155.575,90.0,top
C3,82.55,-167.64,0.0,top
C30,254.635,-155.575,90.0,top
C31,346.71,-203.2,270.0,top
C32,341.21,-182.88,180.0,top
C33,247.015,-94.4,270.0,top
C34,368.3,-104.272923,270.0,top
C35,341.21,-180.34,180.0,top
C36,127.767527,-148.259756,0.0,top
C37,149.225,-154.305,0.0,top
C38,360.68,-150.495,270.0,top
C39,220.98,-81.28,180.0,top
C4,344.17,-123.19,90.0,top
C40,221.15439,-91.44,180.0,top
C41,241.3,-151.55,90.0,top
C42,289.56,-190.92,90.0,top
C43,278.55,-198.12,180.0,top
C44,294.005,-198.12,180.0,top
C45,261.62,-163.83,90.0,top
C46,293.388692,-103.72,270.0,top
C47,312.42,-103.857445,270.0,top
C48,320.04,-199.583012,270.0,top
C49,316.23,-154.059211,0.0,top
C5,349.885,-140.335,90.0,top
C50,163.83,-154.305,0.0,top
C51,175.895,-118.11,180.0,top
C52,99.06,-197.485,270.0,top
C53,54.61,-88.9,0.0,top
C54,342.714439,-153.67,180.0,top
C55,290.110704,-131.23,90.0,top
C56,342.737114,-156.21,180.0,top
C57,330.835,-170.815,270.0,bottom
C58,350.52,-104.142852,90.0,top
C59,99.695,-88.9,0.0,top
C6,360.68,-134.62,0.0,top
C60,122.555,-88.9,0.0,top
C61,35.748286,-131.874685,0.0,top
C62,146.05,-88.265,0.0,top
C63,321.392487,-163.07275,0.0,bottom
C64,354.965,-163.83,270.0,top
C65,371.217411,-99.152863,0.0,top
C66,353.695,-179.07,270.0,top
C67,257.81,-171.45,0.0,top
C68,221.615,-95.885,0.0,top
C69,60.325,-197.485,0.0,top
C7,355.319868,-148.923456,0.0,top
C70,273.852491,-95.002215,0.0,top
C71,111.76,-89.063175,0.0,top
C72,175.26,-180.34,0.0,top
C73,64.77,-168.91,180.0,top
C74,354.965,-189.865,90.0,top
C75,386.08,-129.54,180.0,top
C76,381.0,-85.09,180.0,top
C77,142.24,-213.36,90.0,top
C78,115.892572,-154.94,270.0,top
C79,115.892572,-161.29,270.0,top
C8,355.407322,-134.62,0.0,top
C80,87.065852,-154.979803,270.0,top
C81,87.065852,-161.329803,270.0,top
C82,185.86757,-161.29,0.0,top
C83,185.86757,-167.64,0.0,top
C84,49.53,-146.05,180.0,top
C85,334.246268,-160.742868,90.0,bottom
C86,35.56,-138.43,270.0,top
C87,40.64,-143.51,270.0,top
C88,60.348152,-212.780912,270.0,top
C89,60.200568,-202.449965,270.0,top
C9,279.4,-77.47,0.0,top
C90,40.005,-208.813712,270.0,top
C91,40.005,-200.66,270.0,top
C92,34.29,-80.01,90.0,top
C93,69.85,-80.01,90.0,top
C94,205.74,-118.11,180.0,top
C95,180.594,-156.845,0.0,top
C96,174.244,-156.67874,0.0,top
C97,356.235,-200.025,0.0,top
C98,365.125,-200.025,0.0,top
C99,374.015,-200.025,0.0,top
CN2,135.256238,-48.510571,180.0,top
CN3,61.798696,-48.460863,180.0,top
CN5,21.217151,-104.837847,270.0,top
D1,267.97,-88.9,270.0,top
D10,62.923686,-152.219532,270.0,top
D11,375.92,-168.91,90.0,top
D13,161.29,-58.42,0.0,top
D14,213.36,-105.41,0.0,top
D18,168.91,-205.74,90.0,top
D19,189.882126,-180.189093,0.0,top
D2,242.57,-72.39,180.0,top
D20,189.75111,-190.184811,0.0,top
D21,189.75111,-185.197368,0.0,top
D22,189.882126,-195.429093,0.0,top
D23,189.847049,-200.509093,0.0,top
D24,189.882359,-210.528332,0.0,top
D25,189.882359,-205.40964,0.0,top
D26,189.882126,-215.749093,0.0,top
D27,381.0,-119.38,270.0,top
D28,383.54,-119.38,270.0,top
D29,375.92,-119.38,270.0,top
D3,242.57,-68.58,180.0,top
D30,378.46,-119.38,270.0,top
D4,242.57,-76.2,180.0,top
