Comment,Designator,Footprint,LCSC,Quantity
D-SUB15-HDR15RA,X3,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,C138387,1
1503_09,X5,Korean_PJ-3240-5A,C145814,1
D-SUB15-HDR15RA,X1,DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,C225757,1
USB-A-H,USB2,USB-A-H_14mm_Distance,C2345,1
USB-A-H,USB1,USB-A-H,C2346,1
1503_09,X8,Jack_3.5mm_PJ320E_Horizontal,C2939183,1
D-SUB15-HDR15RA,X7,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,C379814,1
USB-A-H,USB3,USB-A-H,C456018,1
D-SUB15-HDR15RA,X2,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,C75754,1
1503_09,X4,1503_09,,1
1503_09,X6,Korean_PJ-3240-5A,,1
