Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.7,-90.297,0.0,top
C10,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-90.6,180.0,top
C11,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-87.4,180.0,top
C12,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-89.0,180.0,top
C13,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.334,-85.725,0.0,top
C2,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.5625,-105.41,-90.0,top
C3,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.1025,-105.283,-90.0,top
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.59,-104.521,-90.0,top
C5,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-97.0,180.0,top
C6,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-98.6,180.0,top
C7,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-95.4,180.0,top
C8,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-93.8,180.0,top
C9,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.4,-92.2,180.0,top
J1,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,114.1,-91.4,180.0,top
J2,Conn_02x06_Odd_Even,IDC-Header_2x06_P2.54mm_Vertical,155.8385,-95.123,0.0,top
P11,~,PinHeader_2x06_P2.54mm_Vertical,138.6,-104.405,90.0,top
R10,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.307,-89.77,180.0,top
R11,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.51,-85.852,90.0,top
R12,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,119.507,-104.394,90.0,top
R13,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,122.3245,-102.489,0.0,top
R15,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.8205,-98.552,180.0,top
R16,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.6935,-96.139,180.0,top
R17,4.02k +/-5%,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.303,-85.09,180.0,top
R2,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,141.478,-85.852,-90.0,top
R3,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.222,-83.312,180.0,top
R6,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127.508,-106.299,0.0,top
R7,2k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.35,-102.53,180.0,top
R8,2k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.4,-105.8,180.0,top
R9,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.307,-92.818,180.0,top
U1,~,Texas_RNQ0040A_WQFN-40-1EP_6x4mm_P0.4mm_EP4.7x2.7mm_ThermalVias,125.0,-91.8,180.0,top
